407296758,  MPezzin, 37, 23, 14, yes
399660676,  Bell85Mat, 6, 5, 1, yes
2292403348,  CitraGaetano, 4, 3, 1, yes
82512613,  att5stelle, 4, 3, 1, yes
70179939,  aniaclug, 10, 7, 3, yes
416422287,  sernam22, 52, 33, 19, yes
84452627,  fedefox85, 7, 6, 1, yes
1066461174,  MaxCose, 17, 10, 7, yes
796436116249444355,  RodaAnnalisa, 4, 3, 1, yes
99645256,  ylatIemoR, 47, 36, 11, yes
262100774,  francescosgold, 35, 28, 7, yes
12005212,  dainotenace, 4, 3, 1, yes
782558833835147265,  Nadine67816028, 39, 22, 17, yes
39592910,  clemente_tw, 8, 5, 3, yes
1375679971,  Mickpronest75, 10, 9, 1, yes
3239105697,  FogliAdriano, 18, 13, 5, yes
556780444,  fred6001, 10, 9, 1, yes
1039549512,  rainbowfree82, 16, 11, 5, yes
783613594810351616,  ortu_sandra, 52, 29, 23, yes
1205594306,  MadagioPepe, 241, 147, 94, yes
1294725276,  GuerriJimmy, 33, 33, 0, yes
3244021258,  CatiaMassimi, 710, 508, 202, yes
2239737678,  FraMu83, 633, 456, 177, yes
4405998622,  paolocaccamo68, 164, 156, 8, yes
1272928376,  doctorloquax, 142, 114, 28, yes
3334148349,  Autarith, 140, 112, 28, yes
752559084881211392,  ronniehowlett3, 9, 9, 0, yes
721303651575341057,  Alessan93449691, 651, 486, 165, yes
2225303229,  ElenaBrunoG, 272, 214, 58, yes
3198028097,  volpedora67, 887, 666, 221, yes
1103554206,  GaspareRuiz, 106, 103, 3, yes
1114460935,  alecelli1994, 13, 13, 0, yes
3311137528,  alkimj, 148, 131, 17, yes
1934578106,  lldr70, 5, 5, 0, yes
716326404707713024,  andrea_visc, 509, 337, 172, yes
4851423724,  VittoriaCicu, 919, 690, 229, yes
3313832169,  marianna_cosma, 255, 192, 63, yes
1069422908,  NOnsoNOsandro, 39, 22, 17, yes
722053268587855872,  Sandranino1977, 982, 708, 274, yes
4905992363,  ISolimeo, 508, 364, 144, yes
1923616602,  BabuskaBabuska, 387, 296, 91, yes
3092809936,  Claudette_84, 388, 285, 103, yes
953887928,  caracutaf, 20, 17, 3, yes
16986506,  lisanna, 29, 21, 8, yes
909082868,  nanucciogr, 16, 14, 2, yes
51140493,  albertitaly, 15, 15, 0, yes
2168651339,  jose78man, 9, 7, 2, yes
795892733781180416,  uil_pl_mi, 5, 5, 0, yes
157474913,  matteocacciola, 12, 10, 2, yes
714325641,  Ogma80Vito, 8, 8, 0, yes
419739649,  degiorgi64, 80, 47, 33, yes
356404890,  archiettoliber, 38, 26, 12, yes
69030213,  paolobalestri, 36, 25, 11, yes
2970014416,  Geremia1989, 17, 15, 2, yes
1462955294,  FedericoDiGenna, 6, 5, 1, yes
431904458,  LuigiVanno1, 21, 17, 4, yes
4327300043,  maxlooking, 15, 10, 5, yes
3458620516,  ItalianitaMP, 14, 14, 0, yes
118978778,  12qbert, 37, 27, 10, yes
413185210,  Mauri983, 5, 4, 1, yes
716259184,  GridoDitalia, 35, 21, 14, yes
455659876,  PaoloMedioli, 2, 2, 0, yes
293518432,  de_capitani, 13, 12, 1, yes
2512832146,  68e6cb0bac504ec, 20, 16, 4, yes
3879187997,  PiazzaSimonetta, 244, 201, 43, yes
764073381532753920,  Amelia898314041, 382, 302, 80, yes
783162012067106816,  martru8, 66, 52, 14, yes
721937520771129344,  SalacristRenata, 232, 188, 44, yes
801808342125514752,  IsabellaGallio1, 160, 129, 31, yes
791671139521142788,  susannabartolo2, 359, 319, 40, yes
4075531942,  licia_roffia, 97, 80, 17, yes
323105001,  GiovannelliIris, 58, 39, 19, yes
799383480396300288,  VandaLa10, 57, 50, 7, yes
504894136,  GermanaGiani, 181, 123, 58, yes
728267401,  OriettaG, 283, 216, 67, yes
794906422320447488,  elenamoroni1959, 81, 68, 13, yes
3793353617,  MariellaBonotti, 185, 126, 59, yes
3555797841,  lilla_trilly, 299, 241, 58, yes
3879969267,  germy59, 85, 67, 18, yes
722850803464015872,  HelgaVirdis, 580, 470, 110, yes
3385699887,  FrancescoGesua7, 37, 33, 4, yes
15191260,  lorenzabo, 36, 34, 2, yes
417111368,  MaximilianDolce, 30, 30, 0, yes
2358348371,  marini_gian, 55, 49, 6, yes
130851801,  lucianonobili, 33, 29, 4, yes
415608754,  GiuliaTempesta, 11, 9, 2, yes
794822744840007680,  bastaunsiRoma, 26, 26, 0, yes
12514212,  orfini, 13, 12, 1, yes
371749840,  straditeresa, 211, 148, 63, yes
550588728,  PD_ROMA, 14, 13, 1, yes
255674310,  alisabn, 27, 25, 2, yes
417904492,  BorioniStef, 11, 11, 0, yes
26801513,  TiSalvati, 3, 3, 0, yes
422581944,  antogulli, 3, 3, 0, yes
763694739854090240,  Amaro57024721, 17, 11, 6, yes
15712835,  smorelli, 259, 253, 6, yes
1032237176,  marco_bisogni, 20, 20, 0, yes
225168723,  ricpuglisi, 45, 41, 4, yes
556650372,  RParavati, 69, 52, 17, yes
3083483560,  AscoltaP78, 17, 15, 2, yes
424153335,  AnnaLeonardi1, 242, 195, 47, yes
781749446908477440,  gargiulodaniel2, 41, 23, 18, yes
253018480,  realiroberto, 34, 29, 5, yes
1690434842,  RAIsenzaBerlusc, 164, 115, 49, yes
3398394214,  marialuisazocc1, 194, 138, 56, yes
797787538844958720,  corrado_massaro, 13, 11, 2, yes
414278508,  Zuckerman3, 7, 5, 2, yes
427739699,  paolo_porcari, 33, 17, 16, yes
431884957,  _effe17, 11, 7, 4, yes
436124417,  paoloabbadir, 94, 56, 38, yes
550460960,  BernyZb, 3, 3, 0, yes
18618749,  mylae_67, 36, 23, 13, yes
1055140058,  clem24067977, 49, 28, 21, yes
142204068,  italia1971luca, 21, 15, 6, yes
19592755,  xposeidone, 101, 63, 38, yes
512500400,  LilyTessa, 3, 3, 0, yes
414807138,  SkylabStudios_, 2, 2, 0, yes
1109134129,  RosaGiancola, 4, 4, 0, yes
4185673192,  retesoletv, 16, 15, 1, yes
351668873,  leonardotosoni, 2, 2, 0, yes
2512905313,  luciavalente_tw, 6, 6, 0, yes
3377125691,  Corecom_Lazio, 4, 4, 0, yes
2296173870,  SISSILUCE, 12, 12, 0, yes
499700281,  RosellaPre, 4, 4, 0, yes
2166335324,  FaRitardo1, 16, 15, 1, yes
403544693,  nzingaretti, 18, 18, 0, yes
2860979986,  MarioAssennato, 4, 4, 0, yes
55527972,  karda70, 8, 8, 0, yes
3688803513,  dippolitowilma, 204, 154, 50, yes
55286165,  LazioInnova, 2, 2, 0, yes
755102530527457280,  carpa55, 101, 78, 23, yes
790813980180840448,  VsPennivendoli, 9, 9, 0, yes
708302967234039809,  Pallepanzane, 119, 119, 0, yes
789223163305615360,  ilmoro0, 36, 36, 0, yes
4821193318,  onestaverita, 282, 282, 0, yes
1635172152,  LucaMantelli1, 7, 7, 0, yes
4910860665,  sanCefa, 23, 23, 0, yes
4818775001,  inaccettabile20, 13, 13, 0, yes
2508927513,  Ch12Mc, 67, 67, 0, yes
2308162216,  EvaMannelli, 41, 41, 0, yes
1367758146,  DrNicolaromano, 4, 4, 0, yes
580344256,  marconicolett11, 8, 5, 3, yes
950266993,  aleantinori, 36, 25, 11, yes
365304824,  smkarhu, 36, 33, 3, yes
2883758397,  nogender_it, 18, 17, 1, yes
533059229,  rosaannapapiri, 78, 46, 32, yes
52035837,  pino_catizone, 76, 70, 6, yes
2185717829,  riccio_fra, 15, 9, 6, yes
167566334,  F_Baldux, 56, 41, 15, yes
2333218579,  Fumino14, 3, 3, 0, yes
2932258043,  Ancona54731159, 34, 21, 13, yes
473848168,  Scugnizzobrigan, 127, 74, 53, yes
508680506,  GioPertica, 26, 22, 4, yes
51720974,  andrushya, 43, 39, 4, yes
713721722613211136,  matdio78, 15, 11, 4, yes
1717274785,  mdpennalunga, 533, 336, 197, yes
3319305760,  Franc970, 70, 51, 19, yes
368935338,  titti_disalvo, 29, 29, 0, yes
87950192,  _Barfolomew_, 38, 22, 16, yes
372410270,  BeingGreta, 4, 4, 0, yes
779622776999178240,  DimerP, 8, 7, 1, yes
1434038420,  SerglocSergio, 156, 115, 41, yes
105433403,  ContiAlessio, 38, 32, 6, yes
3010269323,  TESOROF1, 9, 6, 3, yes
3251331238,  kalyaMail, 112, 83, 29, yes
493914599,  emanuelbutti, 19, 15, 4, yes
